x_m,y_m,s_m,v_mps,v_kph,gear,rpm
0.0,0.0,0.0,6.014855020895779,21.653478075224804,1,2914.5546456663533
-0.4729503344226527,-0.884622658736389,1.0031147826546756,7.241068647613471,26.067847131408495,1,3508.728006439592
-0.9459006688453054,-1.769245317472778,2.006229565309351,8.477328721346414,30.51838339684709,1,4107.769467727144
-1.4188510032679582,-2.6538679762091673,3.009344347964027,9.588653333217106,34.51915199958158,1,4646.272274381445
-1.8918013376906109,-3.538490634945556,4.012459130618702,10.580017596320628,38.08806334675426,1,5126.647164306165
-2.3647516721132638,-4.423113293681945,5.0155739132733785,11.481621736905387,41.333838252859394,1,5563.527941542585
-2.8377020065359164,-5.3077359524183345,6.018688695928054,12.315035710512195,44.334128557843904,1,5967.3665311844725
-3.3106523409585686,-6.192358611154723,7.021803478582728,13.094119879617246,47.13883156662209,1,6344.87910240054
-3.7836026753812217,-7.076981269891112,8.024918261237405,13.828494451395047,49.78258002502217,1,6700.727217176125
-4.256553009803874,-7.961603928627501,9.02803304389208,14.52519095585468,52.29068744107685,1,7038.318069597025
-4.7295033442265275,-8.84622658736389,10.031147826546755,15.189546936950542,54.68236897302195,1,7360.238016853011
-5.202453678649181,-9.73084924610028,11.034262609201432,15.82573390441118,56.97264205588025,1,7668.508403268517
-5.675404013071833,-10.615471904836669,12.037377391856108,16.437088861943586,59.17351990299691,1,7964.746205416218
-6.148354347494485,-11.500094563573057,13.040492174510783,17.02633269744855,61.29479771081478,1,8250.269855152581
-6.621304681917137,-12.384717222309446,14.043606957165458,17.595719655202238,63.34459075872806,1,8526.171667771116
-7.09425501633979,-13.269339881045836,15.046721739820136,18.147142904290657,65.32971445544636,1,8793.36899618149
-7.5672053507624435,-14.153962539782224,16.04983652247481,18.682211089731926,67.25595992303494,1,9052.641324476757
-8.040155685185097,-15.038585198518614,17.052951305129486,19.202305103218794,69.12829837158766,1,9304.657776731274
-8.513106019607749,-15.923207857255003,18.05606608778416,19.70862100966474,70.95103563479306,1,9549.997917462882
-8.986056354030403,-16.807830515991395,19.059180870438837,20.202203060633465,72.72793101828047,1,9789.167748601089
-9.459006688453055,-17.69245317472778,20.06229565309351,20.683969466406122,74.46229007906204,1,10022.612197584924
-9.931957022875707,-18.57707583346417,21.065410435748188,21.154732784315858,76.15703802353708,1,10250.724996722482
-10.404907357298361,-19.46169849220056,22.068525218402865,21.615216241161107,77.81477846818,1,10473.856592369977
-10.877857691721012,-20.346321150936948,23.07164000105754,22.066066941458622,79.43784098925104,1,10692.320545115152
-11.350808026143666,-21.230943809673338,24.074754783712216,22.507866660064686,81.02831997623286,1,10906.39875944352
-11.823758360566318,-22.115566468409728,25.077869566366893,22.941140739332376,82.58810666159656,1,11116.345794939714
-12.29670869498897,-23.000189127146115,26.080984349021566,23.366365483291215,84.11891573984838,1,11322.392449206858
-12.769659029411624,-23.884811785882505,27.084099131676243,23.783974348575416,85.6223076548715,1,11524.748757739171
-13.242609363834275,-24.76943444461889,28.087213914330917,24.194363163523533,87.09970738868472,1,11723.606522885842
-13.715559698256929,-25.65405710335528,29.090328696985594,24.59789455595289,88.55242040143041,1,11919.14145937082
-14.18851003267958,-26.53867976209167,30.09344347964027,24.994901731718485,89.98164623418656,1,12111.515025229126
-14.661460367102235,-27.423302420828062,31.09655826229495,25.3856917169114,91.38849018088104,1,12300.875992844649
-15.134410701524887,-28.30792507956445,32.09967304494962,25.770548154043112,92.77397335455521,1,12487.361803867536
-15.60736103594754,-29.19254773830084,33.102787827604296,26.149733725086232,94.13904141031044,1,12671.099743321442
-16.080311370370193,-30.07717039703723,34.10590261025897,26.52349226055917,95.48457213801301,1,12852.207961580354
-16.553261704792845,-30.96179305577362,35.10901739291365,26.892050583044533,96.81138209896032,1,13030.796367662788
-17.026212039215498,-31.846415714510005,36.11213217556832,27.255620124946326,98.12023244980678,1,13206.967413131288
-17.49916237363815,-32.7310383732464,37.115246958223,27.61439835341944,99.41183407230999,1,13380.81678255541
-17.972112708060806,-33.61566103198279,38.118361740877674,27.968570029867696,100.6868521075237,1,13552.434003813383
-18.445063042483458,-34.50028369071917,39.121476523532344,28.318308326917982,101.94590997690474,1,13721.902989332433
-18.91801337690611,-35.38490634945556,40.12459130618702,28.66377582211759,103.18959295962333,1,13889.302517594173
-19.390963711328762,-36.26952900819195,41.1277060888417,29.005125384600994,104.41845138456358,1,14054.706662777386
-19.863914045751415,-37.15415166692834,42.130820871496375,29.342500968498953,105.63300348659624,1,14218.185179211809
-20.33686438017407,-38.03877432566473,43.13393565415105,29.6760383248144,106.83373796933184,1,14379.803846324363
-20.809814714596722,-38.92339698440112,44.13705043680573,30.005865641785142,108.02111631042652,1,14539.624778932912
-21.282765049019375,-39.80801964313751,45.14016521946041,30.33210412232873,109.19557484038343,1,14697.706707052574
-21.755715383442023,-40.692642301873896,46.14328000211508,30.654868505969286,110.35752662148943,1,14854.105228800336
-22.228665717864676,-41.577264960610286,47.146394784769754,30.972159746128042,111.49977508606095,1,15007.85168733031
-22.70161605228733,-42.461887619346676,48.14950956742443,31.265015123171473,112.5540544434173,1,15149.757518261407
-23.174566386709984,-43.346510278083066,49.15262435007911,31.47190273297657,113.29884983871565,1,15250.00685797009
-23.647516721132636,-44.231132936819456,50.155739132733785,31.505479893749026,113.41972761749649,1,15266.276987437497
-24.120467055555288,-45.11575559555584,51.158853915388455,31.333335815277817,112.80000893500014,1,15182.862953036129
-24.59341738997794,-46.00037825429223,52.16196869804313,31.017286402907295,111.66223105046626,1,15029.718233855943
-25.066367724400596,-46.88500091302862,53.16508348069781,30.646965492293614,110.32907577225701,1,14850.275749096643
-25.53931805882325,-47.76962357176501,54.16819826335249,30.269448183152583,108.9700134593493,1,14667.34618165836
-26.0122683932459,-48.6542462305014,55.171313046007164,29.8897843111404,107.60322352010544,1,14483.37647696546
-26.483843320916094,-49.54958531503962,56.18324930324321,29.500384687059242,106.20138487341328,1,14294.689221920458
-26.955218540952956,-50.44502955709959,57.19518556047641,29.09837242302038,104.75414072287337,1,14099.89039340359
-27.426394029908806,-51.340578912140245,58.20712181771128,28.686754913830992,103.27231768979158,1,13900.437252891006
-27.89736976434415,-52.236233335609995,59.21905807494681,28.268353706206227,101.76607334234242,1,13697.697007415636
-28.36814572082676,-53.13199278295042,60.23099433217932,27.843654607868228,100.23715658832562,1,13491.90505968437
-28.83872187594079,-54.02785720960537,61.24293058941478,27.41236415772805,98.68451096782098,1,13282.919210362872
-29.309098206275394,-54.92382657100552,62.25486684664981,26.97416532329804,97.10699516387294,1,13070.58583837357
-29.779274688430178,-55.819900822580166,63.266803103884676,26.528714757329,95.5033731263844,1,12854.738571573378
-30.24925129901567,-56.71607991975088,64.27873936111789,26.075639628998406,93.87230266439427,1,12635.196751276078
-30.71902801465285,-57.612363817939695,65.29067561835319,25.614533945956268,92.21232220544256,1,12411.763650065026
-31.1886048119718,-58.50875247255681,66.3026118755881,25.14495426331022,90.52183534791679,1,12184.224392541451
-31.657981667611693,-59.405245839008785,67.31454813282113,24.666414649535724,88.79909273832861,1,11952.343516008848
-32.12715855822398,-60.30184387270174,68.32648439005608,24.1783807453168,87.04217068314048,1,11715.862091628298
-32.596135460468304,-61.19854652903177,69.3384206472917,23.680262706633748,85.24894574388149,1,11474.494304925154
-33.06491235101339,-62.09535376338772,70.35035690452447,23.171406764013092,83.41706435044713,1,11227.923365744131
-33.53348920654162,-62.99226553116114,71.36229316175967,22.651085049983266,81.54390617993975,1,10975.79657904714
-34.00186600374127,-63.88928178773176,72.37422941899476,22.11848323802177,79.62653965687838,1,10717.719355248732
-34.470042719311095,-64.78640248847432,73.38616567622768,21.572685386146766,77.66166739012836,1,10453.247866035663
-34.938019329963936,-65.68362758876356,74.39810193346285,21.012655167919455,75.64555860451004,1,10181.879949672342
-35.40579581241809,-66.58095704396419,75.41003819069839,20.4372123738777,73.57396454595973,1,9903.043724549188
-35.87337214340232,-67.4783908094364,76.42197444793315,19.845003131452675,71.44201127322962,1,9616.083158962798
-36.34074829965675,-68.37592884053493,77.43391070516647,19.234461647185697,69.24406192986851,1,9320.239532946796
-36.80792425793197,-69.27357109261311,78.44584696240126,18.603760298713624,66.97353707536905,1,9014.627254873376
-37.274899994986754,-70.17131752101523,79.45778321963618,17.950743385338757,64.62267618721953,1,8698.201759668009
-37.74167548759033,-71.06916808107962,80.46971947686944,17.272837412572322,62.18221468526036,1,8369.716036340114
-38.20825071252375,-71.96712272814466,81.48165573410473,16.56692675049227,59.64093630177218,1,8027.660377069307
-38.67462564657535,-72.86518141753822,82.4935919913398,15.829176538124466,56.98503553724808,1,7670.17656385552
-39.140800266543465,-73.76334410458321,83.50552824857257,15.054772083658287,54.197179501169835,1,7294.931592439237
-39.60677454924007,-74.66161074460297,84.51746450580768,14.237519763301162,51.25507114788418,1,6898.92428408291
-40.07254847148306,-75.55998129291038,85.52940076304317,13.369204284307086,48.12913542350551,1,6478.17384131841
-40.53812201010214,-76.45845570481333,86.5413370202781,12.438483003023503,44.77853881088461,1,6027.184079343793
-41.00349514193522,-77.35703393561516,87.55327327751128,11.4288004467336,41.14368160824096,1,5537.932887941885
-41.46866784383337,-78.25571594061785,88.56520953474633,10.33229569189047,37.196264490805696,1,5006.611182577266
-41.93364009265633,-79.1545016751129,89.57714579198158,9.220064326595207,33.192231575742746,1,4467.6690000116805
-42.39841186527019,-80.05339109438728,90.58908204921426,8.322434004238385,29.960762415258188,1,4032.7137738213
-42.86298313855741,-80.95238415372842,91.60101830644949,7.946019838640683,28.605671419106457,1,3850.318744975863
-43.49930913143179,-81.72537913790713,92.60223357539668,8.22226996269811,29.600171865713197,1,3984.178344191536
-44.144134383019534,-82.49129846113206,93.60344884434464,8.984916456881727,32.34569924477422,1,4353.725885221541
-44.79738022099205,-83.25004867691203,94.60466411329261,9.93806367595789,35.7770292334484,1,4815.5823465512885
-45.45896694566166,-84.0015372134284,95.6058793822406,10.881846236999458,39.17464645319805,1,5272.9010746380945
-46.12881383970529,-84.74567238482851,96.60709465118858,11.746713616148694,42.2881690181353,1,5691.980708150073
-46.806839178012524,-85.4823634024118,97.60830992013655,12.46880839082145,44.88771020695722,1,6041.878531592616
-47.49296023765645,-86.21152038570666,98.60952518908452,12.891745488066213,46.41028375703837,1,6246.816685100393
-48.18709330798636,-86.93305437343622,99.61074045803248,12.841152286117708,46.22814823002375,1,6222.301272631449
-48.889153700840936,-87.64687733437222,100.61195572698045,12.29709662330661,44.269547843903794,1,5958.673977536478
-49.59905576088064,-88.35290217807531,101.61317099592844,11.408948946528774,41.07221620750359,1,5528.313656564833
-50.316712876038174,-89.05104276552049,102.6143862648764,10.343855419343663,37.23787950963719,1,5012.212557379199
-51.0420374880857,-89.74121391960671,103.61560153382439,9.250159079988638,33.3005726879591,1,4482.251696187779
-51.774941103317296,-90.42333143554879,104.61681680277235,8.369939647067335,30.131782729442406,1,4055.733080441573
-52.51533430334585,-91.09731209115105,105.61803207172034,8.008967099283982,28.832281557422338,1,3880.8204329305263
-53.40480867586284,-91.61666620834517,106.64802884764295,8.300309934622774,29.881115764641986,1,4021.9933475341804
-54.31346998870596,-92.1016692773594,107.67802562356557,9.079430939560917,32.6859513824193,1,4399.523767900077
-55.2399922568213,-92.5516135462388,108.7080223994882,10.049751658744373,36.17910597147974,1,4869.701810439377
-56.18302343114257,-92.96584242339398,109.73801917541083,11.00974052149499,39.63506587738197,1,5334.87345464321
-57.14118737159999,-93.34375143574765,110.76801595133345,11.90005361657554,42.84019301967195,1,5766.283049446405
-58.11308585528448,-93.68478911082596,111.7980127272561,12.724282511194852,45.807417040301466,1,6165.670922563816
-59.09730061683683,-93.9884577815074,112.8280095031787,13.489394637007658,48.56182069322757,1,6536.413208619994
-60.092395418084315,-94.2543143122552,113.85800627910135,14.194314837823727,51.09953341616542,1,6877.988930557603
-61.09691814390438,-94.48197074577295,114.88800305502397,14.834980862591733,53.40593110533024,1,7188.42968637321
-62.109402921257356,-94.67109486914043,115.9179998309466,15.40959276929009,55.47453396944432,1,7466.863297209184
-63.128372258295535,-94.82141069860286,116.94799660686922,15.919510578866051,57.31023808391778,1,7713.948774023603
-64.15233920042742,-94.93269888230671,117.97799338279187,16.36707879768648,58.92148367167133,1,7930.822169456071
-65.17980950019056,-95.00479702039387,119.00799015871448,16.754984456048007,60.317944041772826,1,8118.785509342105
-66.20928379776684,-95.03759990198745,120.03798693463712,17.08545007813357,61.50762028128085,1,8278.915738705315
-67.2392598089579,-95.0310596587232,121.06798371055973,17.351614688211065,62.465812877559834,1,8407.888307141022
-68.25871975691638,-94.99936396940323,122.08793625956041,17.534402419371563,63.12384870973763,1,8496.459823690278
-69.27636300677696,-94.93076791830586,123.10788880856107,17.627035800096934,63.45732888034896,1,8541.346200701688
-70.2908543525973,-94.82536150735945,124.12784135756173,17.656168182908843,63.56220545847184,1,8555.462571149325
-71.30086272391277,-94.68328303578252,125.14779390656241,17.660324112433088,63.577166804759116,1,8557.476365939034
-72.30506293217682,-94.50471891862733,126.16774645556309,17.660324112432576,63.577166804757276,1,8557.476365938788
-73.30213740948382,-94.28990344219245,127.18769900456375,17.660324112432257,63.577166804756125,1,8557.476365938632
-74.29077793729329,-94.03911845662597,128.20765155356443,17.660324112431777,63.5771668047544,1,8557.4763659384
-75.26968736288715,-93.7526930061219,129.2276041025651,17.660324112431667,63.577166804754,1,8557.476365938346
-76.23758130130805,-93.43100289719557,130.24755665156576,17.660324112431834,63.577166804754604,1,8557.476365938428
-77.19318982054563,-93.07447020560397,131.26750920056642,17.66032411243213,63.57716680475566,1,8557.476365938572
-78.13525910775962,-92.68356272255832,132.2874617495671,17.660324112432367,63.57716680475652,1,8557.476365938686
-79.06255311435388,-92.25879334095539,133.30741429856775,17.660324112432235,63.57716680475605,1,8557.47636593862
-79.97385517774248,-91.80071938243272,134.3273668475684,17.660324112431976,63.577166804755116,1,8557.476365938495
-80.86796961768042,-91.30994186613086,135.34731939656908,17.66389883969214,63.59003582289171,1,8559.208533697638
-81.74372330506426,-90.78710472012212,136.36727194556974,17.683066818901438,63.659040548045176,1,8568.496558539202
-82.59996720114432,-90.23289393654008,137.3872244945704,17.723005421692374,63.80281951809255,1,8587.84918464596
-83.43557786512905,-89.64803667151895,138.4071770435711,17.760294201614588,63.93705912581252,1,8605.917814126795
-84.25806265166959,-89.03064357576349,139.43560081749757,17.768307423472503,63.96590672450101,1,8609.800696243092
-85.05767359960105,-88.3838995841213,140.46402459142402,17.755550021747304,63.919980078290294,1,8603.618977093478
-85.83336385444832,-87.70865141691746,141.4924483653505,17.745442442891253,63.883592794408514,1,8598.721254569993
-86.58411787882208,-87.00578311228013,142.52087213927697,17.74316205853745,63.87538341073482,1,8597.616272855688
-87.30895278196512,-86.27621486875333,143.54929591320345,17.74316205853662,63.87538341073183,1,8597.616272855286
-88.00691960655762,-85.52090184056871,144.57771968712993,17.743162058536367,63.87538341073092,1,8597.616272855166
-88.67710457109663,-84.74083288715306,145.6061434610564,17.743162058536534,63.87538341073152,1,8597.616272855244
-89.31863026622324,-83.93702927850882,146.63456723498288,17.74316205853671,63.87538341073216,1,8597.616272855332
-89.93065680343092,-83.11054335816249,147.66299100890933,17.743162058536793,63.875383410732454,1,8597.616272855372
-90.5123829146518,-82.26245716543148,148.69141478283578,17.743162058536747,63.87538341073229,1,8597.616272855348
-91.0630470012805,-81.39388101881303,149.71983855676226,17.74316205853663,63.87538341073187,1,8597.61627285529
-91.58192813126269,-80.50595206234998,150.74826233068873,17.74316205853671,63.87538341073216,1,8597.616272855332
-92.06834698294281,-79.59983277687631,151.77668610461518,17.743162058536928,63.875383410732944,1,8597.616272855435
-92.52166673443527,-78.67670945809166,152.80510987854166,17.743162058537045,63.87538341073336,1,8597.616272855494
-92.94129389735458,-77.7377906634574,153.83353365246813,17.74316205853707,63.875383410733455,1,8597.616272855506
-93.3266790938133,-76.78430562994738,154.86195742639458,17.74316205853698,63.875383410733136,1,8597.616272855463
-93.67731777567013,-75.81750266472496,155.89038120032106,17.743162058536704,63.875383410732134,1,8597.616272855328
-93.99275088508679,-74.8386475108534,156.91880497424754,17.746749672641393,63.88829882150902,1,8599.354685056345
-94.27256545552869,-73.84902169017897,157.94722874817398,17.77353720304805,63.984733930972986,1,8612.334835188214
-94.51639515242275,-72.84992082555632,158.97565252210046,17.858922489283962,64.29212096142227,1,8653.709079755354
-94.72392075276431,-71.84265294461301,160.00407629602694,18.009602458035932,64.83456884892935,1,8726.7224776526
-94.91947659850214,-70.83885748327435,161.0267431122512,18.168653585145158,65.40715290652257,1,8803.792199167789
-95.08100854307335,-69.82902836511158,162.0494099284755,18.26910695642262,65.76878504312143,1,8852.467826246488
-95.2083321674848,-68.81431849935039,163.0720767446998,18.304265645183207,65.89535632265955,1,8869.504299994687
-95.30130210795303,-67.79588636750474,164.09474356092412,18.309527490957116,65.91429896744562,1,8872.053976918212
-95.35981222186426,-66.77489470075302,165.11741037714842,18.309527490956825,65.91429896744457,1,8872.05397691807
-95.38379570895604,-65.75250915246252,166.14007719337272,18.309527490957375,65.91429896744656,1,8872.053976918336
-95.37322518758228,-64.72989696737756,167.16274400959702,18.309527490957535,65.91429896744712,1,8872.053976918414
-95.32811272597452,-63.708225648990854,168.18541082582132,18.306401411531255,65.90304508151252,1,8870.539205692352
-95.24850982846377,-62.68866162661941,169.20807764204562,18.282859850647853,65.81829546233227,1,8859.131920662108
-95.13450737667871,-61.672368923706834,170.23074445826992,18.201714021085717,65.52617047590859,1,8819.811944751607
-94.98623552578722,-60.66050782887238,171.25341127449423,18.027836534742857,64.90021152507428,1,8735.557971241553
-94.80386355589991,-59.65423357122402,172.27607809071853,17.75708871062325,63.925519358243704,1,8604.364563279023
-94.58759967880508,-58.65469500144781,173.29874490694283,17.410408023044624,62.677468882960646,1,8436.377171224705
-94.33769080025601,-57.66303328017957,174.32141172316713,17.00626868550676,61.22256726782434,1,8240.547649212042
-94.0544222380817,-56.68038057515604,175.34407853939143,16.55033992891604,59.58122374409774,1,8019.6230764670645
-93.73811739644312,-55.70785876863326,176.36674535561573,16.041761425415455,57.75034113149564,1,7773.1865730244745
-93.38913739660673,-54.74657817654761,177.38941217184004,15.47809790576973,55.72115246077103,1,7500.058106242006
-93.00788066465685,-53.797636280882095,178.41207898806434,14.856031781275547,53.48171441259197,1,7198.630107269857
-92.59478247661767,-52.86211647668494,179.43474580428864,14.171027056469162,51.01569740328898,1,6866.704616788042
-92.15031446150394,-51.94108683517105,180.45741262051294,13.427124838431503,48.337649418353415,1,6506.23979129001
-91.67498406286819,-51.03559888431851,181.48007943673724,12.680313637401333,45.6491290946448,1,6144.365390687416
-91.16933395945871,-50.146686408352316,182.50274625296154,12.087103246548144,43.51357168757332,1,5856.919709201777
-90.6339414456501,-49.2753642674859,183.52541306918584,11.853081534073635,42.67109352266509,1,5743.522284507441
