x_m,y_m,v_mps
0.0,0.0,48.071585092229604
-10.465116279069866,0.0,46.74714855400951
-20.930232558139732,0.0,45.38407763281959
-31.3953488372096,0.0,43.97878019264469
-42.15116279069828,0.0,42.48603699794902
-52.90697674418695,0.0,40.93890047802004
-63.66279069767563,0.0,39.33095225019813
-74.4186046511643,0.0,37.65440263057563
-86.62790697674521,0.0,35.655888848246796
-98.8372093023261,0.0,33.538497009430216
-117.441860465115,0.0,30.026237987768177
-131.782945736436,0.0,27.00892342249577
-143.023255813952,0.0,24.38438482947742
-153.875968992247,0.0,21.549145351324455
-163.178294573646,2.53023460522456,22.851858879743865
-175.581395348837,5.66037735848868,24.47364546966106
-181.782945736435,7.54716981132084,25.255745081567163
-188.759689922483,10.3773584905633,26.134771772301733
-196.511627906977,14.1509433962237,27.1063842889856
-207.364341085272,20.2830188679232,28.45255482660312
-216.666666666666,27.358490566037,29.65927069794028
-224.806201550388,35.3773584905649,30.793319844494814
-231.782945736434,43.4385644303268,31.81500983584643
-236.821705426357,49.9999999999994,32.585771292816204
-246.511627906977,64.150943396225,31.84388012557762
-257.364341085271,79.2452830188662,28.12369558765834
-262.790697674419,87.7358490566023,25.884835845599316
-268.992248062016,95.2830188679228,23.511817195232478
-276.744186046512,101.415094339621,23.35147513791276
-288.372093023256,106.603773584904,20.487438765258617
-298.062015503876,107.547169811319,21.866631543807696
-308.139534883721,106.603773584904,23.21376872697091
-317.441860465117,103.773584905659,22.802075882590636
-326.356589147287,98.5849056603757,22.852809074250196
-332.945736434109,92.4528301886777,21.615803560463082
-337.984496124031,84.9056603773569,21.444652922539667
-342.248062015504,76.8867924528286,18.73207895764681
-343.798449612403,65.5660377358474,20.48046220867195
-344.186046511628,52.8301886792419,22.26880792186249
-343.023255813954,41.0377358490536,23.811712683080064
-339.922480620155,29.7169811320724,25.2472580291573
-335.271317829457,20.2830188679232,26.467590749517576
-326.744186046512,4.71698113207462,28.408186835754364
-318.992248062016,-8.018867924529738,29.941314624568566
-311.24031007752,-20.7547169811341,31.399674577926433
-304.8449612403105,-31.3679245283028,32.562040458487054
-298.449612403101,-41.9811320754715,33.68431970577135
-291.0852713178295,-54.716981132075844,34.97004217525836
-283.720930232558,-67.4528301886802,36.210140919887074
-278.42377260981897,-76.25786163522116,37.05169432137665
-273.12661498708,-85.06289308176213,37.87455344596671
-267.829457364341,-93.8679245283031,38.67991139309969
-260.8527131782945,-104.95283018868055,39.68276483570418
-253.875968992248,-116.037735849058,40.660891586800666
-248.25581395348848,-125.9433962264165,41.49267191401112
-242.635658914729,-135.849056603775,42.308102539513364
-232.945736434109,-150.943396226416,43.52032031651405
-227.325581395349,-160.6132075471705,41.95003174957758
-221.705426356589,-170.283018867925,40.31863151359615
-215.8914728682165,-179.9528301886795,38.6030491008915
-210.077519379844,-189.622641509434,36.80759096494271
-199.999999999999,-206.603773584908,33.434166552241145
-190.697674418604,-222.641509433964,29.92256760653855
-181.782945736435,-236.792452830191,26.356431870978763
-173.255813953491,-250.943396226415,22.28010458641636
-170.15503875969,-262.264150943396,18.856041636649614
-172.48062015504,-275.943396226417,20.94763546616171
-178.294573643413,-286.792452830191,17.99708613182558
-185.271317829457,-292.45283018868,17.702269869509365
-193.023255813955,-295.283018867926,19.049538200681976
-202.713178294575,-297.169811320754,19.73867856008144
-213.56589147287,-295.754716981133,21.337359802553415
-228.682170542636,-290.094339622644,23.497462849032555
-241.860465116279,-284.433962264152,25.26233882990891
-253.875968992248,-275.47169811321,26.98378484989751
-262.403100775194,-266.509433962264,28.3257626458017
-270.542635658915,-255.660377358493,29.72753988830001
-278.4883720930235,-243.867924528303,31.12947402946408
