s_m,v_const_mps,v_trac_mps,R_m
0.0,42.27753358029307,42.15407345747772,999999999.9999999
1.0,42.48585465343504,42.36300165307491,999999999.9999999
2.0,42.693159236964505,42.57090448955046,999999999.9999999
3.0,42.899462066939805,42.77779691684025,999999999.9999999
4.0,43.104777526775464,42.983693525084924,999999999.9999999
5.0,43.309119658944894,43.1886085566371,999999999.9999999
6.0,43.51250217618848,43.39255591755834,999999999.9999999
7.0,43.71493847225233,43.59554918863194,999999999.9999999
8.0,43.916441632181524,43.7976016359164,999999999.9999999
9.0,44.11702444219019,43.99872622086266,999999999.9999999
10.0,44.31669939912952,44.19893561001698,999999999.9999999
11.0,44.515478719573565,44.39824218433008,999999999.9999999
12.0,44.71337434854147,44.596658048091754,999999999.9999999
13.0,44.910397967873834,44.79419503750935,999999999.9999999
14.0,45.1065610042797,44.990864728947216,999999999.9999999
15.0,45.30187463707,45.18667844684345,999999999.9999999
16.0,45.49634980559216,45.381647271319125,999999999.9999999
17.0,45.68999721637993,45.575782045494584,999999999.9999999
18.0,45.882827350031576,45.76909338252645,999999999.9999999
19.0,46.07485046782904,45.96159167237821,999999999.9999999
20.0,46.26607661810979,46.15328708833669,999999999.9999999
21.0,46.456515642402685,46.34418959328587,999999999.9999999
22.0,46.646177181338295,46.53430894574912,999999999.9999999
23.0,46.83507068034386,46.72365470571011,999999999.9999999
24.0,47.02320539513236,46.9122362402223,999999999.9999999
25.0,47.21059039699467,47.100062728816255,999999999.9999999
26.0,47.39723457790343,47.28714316871369,999999999.9999999
27.0,47.583146655436785,47.47348637985655,999999999.9999999
28.0,47.76833517752952,47.65910100975915,999999999.9999999
29.0,47.952808527059226,47.843995538190846,999999999.9999999
30.0,48.136574926274136,48.02817828169652,999999999.9999999
31.0,48.31964244106949,48.211657397961595,999999999.9999999
32.047238372093005,48.51061719672532,48.403058211572166,999999999.9999999
33.17260174418601,48.71500433369211,48.60789761610002,999999999.9999999
34.328851744186025,48.924111741876736,48.81746381324272,999999999.9999999
35.48510174418603,49.132329196076604,49.02613421081926,999999999.9999999
36.64135174418604,49.33966796332989,49.233920198956966,999999999.9999999
37.79760174418605,49.5461390749233,49.44083292843339,999999999.9999999
38.95385174418607,49.75175333324085,49.64688331765916,999999999.9999999
40.110101744186075,49.956521318358845,49.85208205940113,999999999.9999999
41.26635174418608,50.1600810494396,50.05626129300088,999999999.9999999
42.422601744186096,50.3624395229796,50.2592314136823,999999999.9999999
43.5788517441861,50.5636118667468,50.46100771912184,999999999.9999999
44.73510174418611,50.76361288353833,50.66160517684547,999999999.9999999
45.891351744186125,50.85410119165907,50.85410119165907,999999999.9999999
47.04760174418614,50.585737693657286,50.585737693657286,999999999.9999999
48.203851744186146,50.31594288107398,50.31594288107398,999999999.9999999
49.36010174418615,50.04469360493177,50.04469360493177,999999999.9999999
50.51635174418617,49.77196608545315,49.77196608545315,999999999.9999999
51.67260174418618,49.497735887730244,49.497735887730244,999999999.9999999
52.82885174418619,49.22197789617457,49.22197789617457,999999999.9999999
53.985101744186196,48.944666287671204,48.944666287671204,999999999.9999999
55.14135174418621,48.665774503356026,48.665774503356026,999999999.9999999
56.29760174418622,48.38527521892892,48.38527521892892,999999999.9999999
57.453851744186224,48.103140313408815,48.103140313408815,999999999.9999999
58.61010174418623,47.8193408362296,47.8193408362296,999999999.9999999
59.76635174418624,47.53384697256782,47.53384697256782,999999999.9999999
60.92260174418625,47.246628006784725,47.246628006784725,999999999.9999999
62.07885174418626,46.95765228385566,46.95765228385566,999999999.9999999
63.23510174418627,46.66688716864983,46.66688716864983,999999999.9999999
64.39135174418628,46.37429900291209,46.37429900291209,999999999.9999999
